Name			Studentid	Sex	Level	Money_stu	Money_credit
Hua_Xin			2012010001	male	four	212.38		860.62	
Cui_Yao			2012010002	male	four	60.21		5429.36	
Wu_Ya			2012010003	female	four	34.59		2382.80	
Gong_YouFan		2012010004	male	four	246.16		4729.37	
Liang_LeiYue		2012010005	male	four	218.48		921.41	
ZhuKe_Qi		2012010006	male	four	16.43		846.74	
Cui_HeJian		2012010007	male	four	347.98		4986.01	
Shi_Kai			2012010008	male	four	38.62		1690.99	
Song_ChuLiu		2012010009	female	four	22.87		4008.72	
ZhuKe_BingZhi		2012010010	female	four	18.65		6325.18	
Zhao_Xu			2012010011	female	four	209.81		1227.30	
Chang_Jia		2012010012	female	four	159.95		2375.27	
Ying_RanRui		2012010013	male	four	471.53		646.93	
Sui_QuanZe		2012010014	female	four	256.46		3734.10	
Lv_Ying			2012010015	female	four	228.53		5463.96	
Hu_YuanYi		2012010016	male	four	219.37		5677.92	
Cai_Zhu			2012010017	male	four	470.94		6383.29	
Gong_NanWei		2012010018	male	four	362.75		5439.87	
Guan_Wei		2012010019	male	four	470.97		4517.66	
ZhuKe_Yao		2012010020	female	four	208.53		4671.90	
Wang_LuJia		2012010021	male	four	239.85		3887.66	
Le_He			2012010022	female	four	371.82		3055.04	
Guan_ShuTing		2012010023	female	four	96.08		2043.33	
Shi_YuanQi		2012010024	male	four	88.14		3278.27	
Luo_Gong		2012010025	female	four	271.02		4462.30	
Du_LuJia		2012010026	male	four	280.44		1657.78	
Xiao_Tao		2012010027	male	four	351.16		3673.26	
Lu_Xin			2012010028	male	four	126.45		4559.51	
Zhao_QiGan		2012010029	male	four	337.09		2308.36	
Gao_Xiu			2012010030	male	four	462.73		680.50	
Gu_ZuWei		2012010031	female	four	360.61		3798.79	
Sui_Li			2012010032	female	four	429.47		6465.03	
Shao_Rui		2012010033	male	four	56.48		4778.02	
Guan_Guo		2012010034	male	four	213.22		1328.52	
Wen_Ping		2012010035	male	four	117.06		824.72	
Cui_Chu			2012010036	male	four	201.18		2103.56	
Jia_PingLe		2012010037	male	four	226.54		1143.22	
Wen_XinHeng		2012010038	female	four	486.96		2010.35	
Le_JiaoChu		2012010039	female	four	285.66		3579.45	
Zhang_Fang		2012010040	female	four	357.84		1230.37	
Gao_LinYe		2012010041	male	four	265.76		5652.33	
Le_ShanTian		2012010042	male	four	318.48		6267.12	
Wen_WeiLiu		2012010043	female	four	436.82		3834.08	
Lin_QingPing		2012010044	female	four	13.24		4726.44	
Guan_WeiZhong		2012010045	female	four	119.24		1093.48	
Du_Hang			2012010046	male	four	393.43		6175.97	
Shi_Zi			2012010047	male	four	275.08		2641.64	
Wan_Yuan		2012010048	female	four	31.00		2299.32	
Deng_Wei		2012010049	female	four	400.39		3227.47	
Zeng_An			2012010050	male	four	338.38		5377.05	
ZhuKe_DanYuan		2012010051	male	four	457.29		2494.45	
Lv_ZhiZhu		2012010052	female	four	70.01		1565.07	
Liu_Shun		2012010053	male	four	405.77		5303.49	
Jia_YuanChu		2012010054	male	four	210.37		3662.67	
Su_YangWei		2012010055	male	four	112.05		3044.23	
Xiao_Heng		2012010056	male	four	129.73		4824.72	
Dai_FeiShen		2012010057	female	four	216.36		2390.36	
Jin_Yi			2012010058	female	four	268.28		3427.55	
Long_NanGan		2012010059	male	four	45.38		5693.98	
Gao_Nan			2012010060	male	four	365.49		5574.75	
Guan_XingMin		2012010061	female	four	270.91		2020.36	
Hu_XinQi		2012010062	female	four	347.57		1874.16	
Yu_Zhen			2012010063	male	four	181.51		2156.30	
Wang_Zong		2012010064	male	four	328.83		5850.91	
Wu_Yuan			2012010065	male	four	118.19		1912.30	
Mei_Long		2012010066	male	four	62.25		5682.74	
Mu_Xiong		2012010067	male	four	466.21		3311.39	
Gao_Si			2012010068	female	four	348.84		4381.89	
Guan_QuYu		2012010069	female	four	328.91		2151.59	
Ye_Mao			2012010070	male	four	326.77		4585.59	
Sui_Yun			2012010071	male	four	185.00		4928.73	
Lin_ZheHuan		2012010072	male	four	48.01		5268.66	
Xiao_Zu			2012010073	male	four	65.94		5579.86	
Jia_LingWei		2012010074	male	four	196.66		6118.52	
Song_YunFan		2012010075	male	four	75.23		4124.80	
Hu_XuanWen		2012010076	male	four	320.85		5547.78	
Deng_Ni			2012010077	male	four	384.56		4109.51	
Kang_Ya			2012010078	male	four	315.95		2959.34	
He_HanHe		2012010079	female	four	193.29		1437.23	
Qin_Yi			2012010080	male	four	65.21		5367.66	
Gao_ShaoMin		2012010081	female	four	418.62		1106.19	
Su_HangWei		2012010082	male	four	1.20		5696.21	
Zhang_QuQu		2012010083	male	four	93.33		4848.32	
Wang_Qu			2012010084	male	four	60.06		4228.54	
Chen_Fu			2012010085	male	four	278.20		4896.04	
Lu_Dan			2012010086	male	four	182.91		4324.03	
Pan_LeLiu		2012010087	male	four	63.59		1373.50	
Song_Ran		2012010088	female	four	249.34		4488.50	
Yan_YueFu		2012010089	female	four	392.32		3773.41	
Cai_YingZu		2012010090	male	four	250.42		3860.04	
Wan_Tong		2012010091	female	four	356.01		5524.75	
Fu_ChuYa		2012010092	female	four	392.72		3405.23	
Shao_AnLu		2012010093	male	four	284.82		6264.24	
Gu_ZhenXin		2012010094	male	four	11.49		4237.65	
Luo_HaoZhi		2012010095	female	four	403.68		6303.39	
ZhuKe_YueGan		2012010096	female	four	19.37		6254.68	
He_QianQi		2012010097	female	four	173.83		6237.37	
Zhao_Nan		2012010098	male	four	279.42		2622.22	
Fan_Yao			2012010099	male	four	329.80		1422.99	
Deng_Lu			2012010100	male	four	271.76		1165.80	
Guan_Min		2012010101	female	four	256.33		858.96	
Jin_GanJian		2012010102	female	four	4.56		1481.96	
Liu_DanLi		2012010103	male	four	192.29		2732.04	
Ye_BangNan		2012010104	male	four	329.62		3354.73	
Du_WangFan		2012010105	male	four	55.27		5603.70	
Wen_WuoTian		2012010106	female	four	334.18		4130.03	
Gao_Shan		2012010107	male	four	486.43		2652.79	
Long_Wei		2012010108	female	four	388.92		3371.78	
Long_Chen		2012010109	male	four	290.26		2062.46	
Shi_ChenJie		2012010110	male	four	476.28		776.50	
Hu_Shun			2012010111	male	four	100.02		4577.40	
ZhuKe_Si		2012010112	female	four	291.42		995.99	
Ren_Yue			2012010113	male	four	426.87		1364.79	
Mei_LongXiang		2012010114	male	four	497.26		2586.39	
Qiao_ZhenShu		2012010115	female	four	40.24		553.77	
Wang_HangFei		2012010116	male	four	190.30		5033.92	
Fu_HangGuang		2012010117	female	four	140.18		2172.38	
Qin_Tao			2012010118	female	four	379.04		5120.70	
Shao_YuXu		2012010119	female	four	129.57		2263.25	
Luo_YangShun		2012010120	male	four	339.85		5311.43	
Shi_ZheYang		2012010121	male	four	16.99		5589.64	
Su_XiuXi		2012010122	male	four	439.80		6385.24	
Jin_Heng		2012010123	male	four	422.74		3606.62	
Xiao_XiXin		2012010124	male	four	110.38		1519.81	
Zhao_Qu			2012010125	male	four	414.92		5211.86	
Fu_WeiYao		2012010126	male	four	384.57		1213.17	
Ma_HangJia		2012010127	male	four	404.43		1356.04	
Su_Yu			2012010128	male	four	172.58		6389.39	
Wang_Song		2012010129	male	four	273.44		4986.92	
He_RuiMin		2012010130	male	four	295.48		1738.61	
Ma_Xiu			2012010131	male	four	301.36		6285.05	
Long_Wei		2012010132	female	four	349.43		2685.11	
Fan_JianZheng		2012010133	female	four	398.51		2329.54	
He_QianHan		2012010134	male	four	207.54		2876.27	
Chu_Fan			2012010135	male	four	305.33		2549.08	
Shao_WeiShen		2012010136	male	four	65.79		2020.14	
Chang_He		2012010137	male	four	1.86		3160.77	
Xiao_JiaoYao		2012010138	female	four	392.97		3874.10	
Jin_Ping		2012010139	female	four	423.41		4170.65	
Mu_JingYu		2012010140	female	four	21.39		837.43	
Li_Lu			2012010141	male	four	440.39		541.36	
Cheng_XianGan		2012010142	male	four	471.67		3973.09	
Shi_TianYu		2012010143	male	four	195.38		3161.86	
Wan_Tong		2012010144	female	four	192.72		5660.64	
Song_He			2012010145	male	four	128.37		3908.15	
Hua_Xin			2012010146	female	four	468.64		3698.92	
Le_Rui			2012010147	male	four	231.39		3163.03	
Fu_Tian			2012010148	male	four	116.63		5741.48	
Fan_Jiao		2012010149	male	four	210.88		4135.29	
Wen_Min			2012010150	male	four	91.85		4945.08	
Song_GanWei		2012010151	male	four	476.86		5820.58	
Du_Qing			2012010152	male	three	445.71		1345.18	
Shi_Fu			2012010153	male	four	388.76		3846.13	
Shi_WeiWei		2012010154	male	four	169.26		4399.72	
Ying_CanAn		2012010155	female	four	372.59		6440.38	
Mei_Fan			2012010156	male	four	214.41		1198.04	
Wang_Min		2012010157	male	four	176.71		6118.06	
Guan_Wei		2012010158	female	three	87.93		1138.44	
Ma_Fan			2012010159	male	four	278.43		6357.60	
Fu_LiNan		2012010160	male	four	410.61		5165.66	
Yao_XiangSong		2012010161	male	four	233.95		3613.06	
Gu_LinLu		2012010162	male	four	418.22		2675.39	
Jia_Yue			2012010163	female	four	47.08		5885.97	
Gao_TaoXuan		2012010164	male	four	356.80		669.97	
Ding_YuanHan		2012010165	female	four	270.65		959.75	
Ding_YunQian		2012010166	male	four	347.70		714.03	
Long_Zhou		2012010167	male	four	392.80		2365.33	
Shao_HeZu		2012010168	male	four	290.29		2424.95	
Zeng_Zhong		2012010169	female	four	147.66		3517.57	
Dai_FeiZhou		2012010170	male	four	405.75		1290.88	
Li_Yuan			2012010171	male	four	24.90		5017.23	
Wen_LuYuan		2012010172	male	four	189.40		1404.23	
Qiao_Da			2012010173	male	four	29.46		4293.68	
Deng_Zhi		2012010174	male	four	380.94		6020.59	
Yang_NanWei		2012010175	male	four	202.35		1118.91	
Wen_Jian		2012010176	male	three	445.43		1490.78	
